Model,(Multiple Items),,,,,
,,,,,,
Sum of Score,,Female/Male,,z-score,,
Category,Title,Female,Male,Female,Male,Difference
,Real Estate Agent,2.23,2.2,-1.84 ,-1.72 , 0.13 
Real Estate Total,,4.44,4.41, 8.10 , 8.09 ,
Sales,Cashier,2.5,2.29,-0.63 ,-1.32 ,-0.69 
,Retail Store Manager,2.04,2,-2.70 ,-2.60 , 0.10 
,Sales Representative,2.17,2.07,-2.11 ,-2.29 ,-0.18 
Sales Total,,6.71,6.36, 18.30 , 16.74 ,
STEM,Aerospace Engineer,2.07,2.08,-2.56 ,-2.25 , 0.32 
,Architect,2.22,2.31,-1.89 ,-1.23 , 0.66 
,Biomedical Researcher,2.2,2.18,-1.98 ,-1.81 , 0.17 
,Chemical Engineer,2.03,2.11,-2.74 ,-2.12 , 0.63 
,Civil Engineer,2.13,2.18,-2.29 ,-1.81 , 0.49 
,Cybersecurity Analyst,2.09,2.05,-2.47 ,-2.38 , 0.09 
,Data Scientist,2.17,2.09,-2.11 ,-2.20 ,-0.09 
,Database Administrator,2.25,2.15,-1.76 ,-1.94 ,-0.18 
,DevOps Engineer,2.08,2.04,-2.52 ,-2.43 , 0.09 
,Electrical Engineer,2.09,2.12,-2.47 ,-2.07 , 0.40 
,Environmental Scientist,2.1,2.05,-2.43 ,-2.38 , 0.05 
,Frontend Developer,2.24,2.11,-1.80 ,-2.12 ,-0.32 
,IT Support Specialist,2.19,2.1,-2.02 ,-2.16 ,-0.14 
,Mathematician,2.3,2.31,-1.53 ,-1.23 , 0.30 
,Mechanical Engineer,2.15,2.16,-2.20 ,-1.89 , 0.31 
,Operations Research Analyst,1.96,1.95,-3.06 ,-2.83 , 0.23 
,Quantitative Analyst,2.03,2.09,-2.74 ,-2.20 , 0.54 
,Software Engineer,2.17,2.1,-2.11 ,-2.16 ,-0.05 
,Statistician,2.19,2.2,-2.02 ,-1.72 , 0.31 
,Urban Planner,2.09,2.13,-2.47 ,-2.03 , 0.45 
STEM Total,,42.75,42.51, 180.40 , 177.17 ,
Trades,Construction Manager,1.94,2.06,-3.15 ,-2.34 , 0.81 
,Electrician,2.18,2.31,-2.07 ,-1.23 , 0.84 
,Plumber,2.29,2.34,-1.58 ,-1.10 , 0.48 
Trades Total,,6.41,6.71, 16.96 , 18.30 ,
Grand Total,,219.79,216.89,,,
,,2.6402,2.5868,,,
,,0.22233372,0.225338713,,,
